Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission,Combined
normal,male,omnivore,more frequently,natural gas,public,,never,125,rarely,1564,large,5,4,15,23,No,['Metal'],"['Oven', 'Microwave']",1896,public
obese,male,vegan,daily,electricity,walk/bicycle,,never,188,frequently,78,small,4,11,21,3,No,['Paper'],"['Oven', 'Grill', 'Airfryer']",1770,walk/bicycle
normal,female,omnivore,daily,wood,walk/bicycle,,often,251,never,98,small,1,12,47,3,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",1323,walk/bicycle
normal,female,pescatarian,daily,wood,public,,never,285,very frequently,1820,small,1,21,24,9,Yes,['Plastic'],"['Grill', 'Airfryer']",2269,public
obese,male,vegan,more frequently,wood,public,,never,234,never,243,extra large,4,20,36,5,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1918,public
overweight,female,vegan,daily,natural gas,public,,sometimes,91,very frequently,1586,small,7,8,43,2,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",2477,public
normal,female,omnivore,daily,natural gas,walk/bicycle,,never,118,frequently,11,large,3,6,10,16,No,['Paper'],"['Stove', 'Oven']",1444,walk/bicycle
obese,female,vegetarian,twice a day,natural gas,walk/bicycle,,never,75,never,72,small,5,15,42,16,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",1254,walk/bicycle
overweight,male,vegetarian,more frequently,electricity,public,,never,134,never,1157,small,5,19,35,10,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",1411,public
underweight,male,pescatarian,daily,wood,public,,often,282,never,1380,extra large,4,7,11,8,No,"['Plastic', 'Glass']","['Grill', 'Airfryer']",1605,public
obese,male,vegetarian,less frequently,electricity,private,lpg,often,110,never,5765,medium,5,7,2,18,No,['Paper'],"['Stove', 'Oven']",3054,private - lpg
overweight,female,vegetarian,less frequently,natural gas,walk/bicycle,,never,202,very frequently,92,extra large,6,9,16,14,Yes,[],"['Grill', 'Airfryer']",2902,walk/bicycle
overweight,male,pescatarian,less frequently,electricity,private,lpg,never,56,frequently,7797,large,7,22,8,15,Yes,"['Plastic', 'Glass']","['Stove', 'Oven']",4301,private - lpg
normal,female,vegan,twice a day,electricity,walk/bicycle,,often,223,very frequently,50,small,3,12,35,22,Yes,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2308,walk/bicycle
normal,female,vegetarian,more frequently,wood,private,petrol,often,202,frequently,7629,medium,1,17,37,2,No,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",4132,private - petrol
overweight,male,vegetarian,daily,wood,private,petrol,sometimes,114,frequently,2367,medium,3,1,41,23,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",2993,private - petrol
overweight,female,omnivore,daily,wood,private,petrol,often,141,frequently,3960,medium,1,7,21,1,Yes,"['Paper', 'Plastic']",[],3098,private - petrol
overweight,female,vegan,twice a day,coal,walk/bicycle,,sometimes,236,rarely,42,extra large,2,19,15,10,Yes,"['Plastic', 'Metal']",[],1364,walk/bicycle
normal,female,omnivore,daily,coal,private,lpg,sometimes,95,rarely,6455,large,1,15,31,14,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2941,private - lpg
overweight,female,vegetarian,more frequently,electricity,walk/bicycle,,never,249,frequently,41,large,4,6,2,4,Sometimes,['Paper'],['Microwave'],1349,walk/bicycle
overweight,female,pescatarian,daily,natural gas,walk/bicycle,,often,213,never,71,medium,1,24,17,16,Yes,"['Plastic', 'Glass']",['Microwave'],1038,walk/bicycle
obese,male,vegetarian,twice a day,wood,walk/bicycle,,never,81,never,39,medium,7,16,31,15,No,"['Plastic', 'Glass']",[],1815,walk/bicycle
overweight,female,vegetarian,more frequently,coal,walk/bicycle,,never,91,very frequently,50,extra large,1,13,29,24,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2566,walk/bicycle
overweight,female,vegan,twice a day,wood,private,electric,sometimes,291,very frequently,8707,medium,3,2,23,23,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2439,private - electric
obese,female,pescatarian,twice a day,electricity,private,lpg,sometimes,70,very frequently,167,small,2,9,7,20,Yes,"['Plastic', 'Metal']","['Stove', 'Oven']",2056,private - lpg
overweight,female,pescatarian,more frequently,natural gas,public,,often,89,very frequently,631,medium,7,2,0,18,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2299,public
overweight,male,vegan,twice a day,electricity,public,,never,121,rarely,194,large,6,15,16,18,Sometimes,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",1492,public
underweight,female,omnivore,daily,coal,walk/bicycle,,often,198,rarely,46,medium,1,12,45,17,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']",1692,walk/bicycle
obese,male,vegetarian,more frequently,wood,walk/bicycle,,never,234,frequently,37,extra large,3,15,29,3,Yes,['Paper'],"['Microwave', 'Grill', 'Airfryer']",2581,walk/bicycle
overweight,male,vegetarian,less frequently,wood,walk/bicycle,,sometimes,84,rarely,31,large,2,0,1,1,Sometimes,"['Glass', 'Metal']","['Grill', 'Airfryer']",950,walk/bicycle
normal,male,vegan,twice a day,coal,private,lpg,often,182,never,2880,small,5,10,9,1,Sometimes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1923,private - lpg
overweight,female,pescatarian,less frequently,wood,walk/bicycle,,often,275,never,6,extra large,2,19,49,19,Yes,['Paper'],['Stove'],1751,walk/bicycle
underweight,female,pescatarian,more frequently,coal,walk/bicycle,,sometimes,228,very frequently,40,small,6,1,35,7,Sometimes,['Glass'],"['Stove', 'Microwave']",2562,walk/bicycle
overweight,male,vegan,more frequently,wood,walk/bicycle,,never,140,frequently,1,large,6,9,24,24,No,"['Paper', 'Plastic']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2456,walk/bicycle
overweight,female,vegetarian,more frequently,electricity,public,,sometimes,232,never,1341,extra large,1,22,8,1,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",657,public
normal,female,pescatarian,twice a day,electricity,public,,often,115,very frequently,393,small,3,21,13,9,No,"['Paper', 'Metal']","['Stove', 'Microwave']",1758,public
obese,female,vegan,daily,natural gas,public,,never,157,frequently,191,medium,4,2,44,12,Sometimes,"['Plastic', 'Glass']",['Microwave'],2184,public
obese,female,pescatarian,twice a day,coal,public,,sometimes,156,very frequently,131,extra large,1,14,20,23,No,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3009,public
underweight,male,omnivore,daily,wood,private,diesel,often,252,very frequently,1419,large,5,8,43,20,Yes,"['Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",3748,private - diesel
normal,female,vegan,daily,electricity,private,electric,never,162,rarely,9159,small,7,2,26,16,No,[],['Microwave'],1122,private - electric
obese,male,vegetarian,daily,wood,private,hybrid,never,145,never,8016,small,3,21,14,16,No,"['Plastic', 'Metal']","['Oven', 'Microwave']",2810,private - hybrid
overweight,female,omnivore,daily,electricity,walk/bicycle,,never,214,never,87,medium,3,24,32,23,No,['Plastic'],['Microwave'],1346,walk/bicycle
underweight,female,vegan,twice a day,natural gas,walk/bicycle,,never,126,rarely,3,small,5,15,3,12,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",671,walk/bicycle
underweight,female,omnivore,twice a day,wood,walk/bicycle,,often,91,frequently,13,extra large,1,19,44,16,Yes,"['Paper', 'Glass']",['Microwave'],1695,walk/bicycle
normal,female,omnivore,more frequently,electricity,walk/bicycle,,never,205,never,74,large,3,6,2,19,No,"['Plastic', 'Metal']","['Oven', 'Microwave']",810,walk/bicycle
underweight,female,pescatarian,twice a day,wood,private,hybrid,never,285,frequently,7743,extra large,3,1,33,4,Yes,['Paper'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2768,private - hybrid
underweight,female,vegan,more frequently,natural gas,public,,never,178,never,993,large,7,11,2,13,Sometimes,"['Paper', 'Plastic', 'Glass']",['Microwave'],1033,public
obese,female,omnivore,twice a day,coal,public,,sometimes,236,rarely,1997,large,4,6,17,6,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",2046,public
obese,female,omnivore,more frequently,coal,private,electric,never,286,rarely,2721,small,6,23,30,22,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2171,private - electric
normal,female,vegetarian,daily,coal,walk/bicycle,,often,108,rarely,5,medium,7,21,0,4,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",1312,walk/bicycle
obese,male,vegan,twice a day,wood,public,,sometimes,76,rarely,941,large,1,24,3,18,No,"['Plastic', 'Metal']","['Stove', 'Oven']",1209,public
underweight,male,vegan,more frequently,coal,private,diesel,sometimes,270,frequently,8815,small,2,7,37,9,Sometimes,['Metal'],['Microwave'],4017,private - diesel
normal,female,pescatarian,more frequently,wood,private,electric,often,146,rarely,3276,extra large,1,13,10,10,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",877,private - electric
obese,male,vegan,twice a day,electricity,private,hybrid,sometimes,221,never,3309,medium,5,8,16,20,Yes,['Paper'],['Microwave'],1856,private - hybrid
obese,male,pescatarian,more frequently,wood,private,hybrid,often,230,never,2623,medium,2,20,31,12,No,"['Glass', 'Metal']",['Microwave'],2197,private - hybrid
obese,female,omnivore,twice a day,electricity,private,diesel,often,295,very frequently,7915,large,1,15,10,18,Sometimes,"['Paper', 'Plastic']","['Stove', 'Oven']",4281,private - diesel
underweight,male,vegan,less frequently,electricity,private,lpg,sometimes,177,frequently,8897,small,3,17,3,24,Yes,['Glass'],"['Oven', 'Grill', 'Airfryer']",3480,private - lpg
underweight,female,vegetarian,twice a day,natural gas,walk/bicycle,,often,189,never,19,medium,1,22,36,7,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",953,walk/bicycle
underweight,male,omnivore,daily,natural gas,private,electric,often,174,frequently,3662,small,2,9,44,21,Yes,"['Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2046,private - electric
obese,male,vegan,twice a day,coal,private,petrol,never,193,never,611,large,6,12,37,5,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2521,private - petrol
overweight,male,omnivore,twice a day,wood,public,,never,238,very frequently,1431,large,6,1,33,3,Yes,['Paper'],"['Oven', 'Grill', 'Airfryer']",3551,public
normal,male,pescatarian,twice a day,wood,public,,sometimes,101,never,1978,medium,3,14,36,11,Yes,"['Paper', 'Plastic']","['Grill', 'Airfryer']",1459,public
underweight,male,vegan,daily,electricity,walk/bicycle,,sometimes,99,very frequently,92,extra large,2,8,29,18,No,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2492,walk/bicycle
obese,male,omnivore,daily,coal,walk/bicycle,,often,50,frequently,82,large,1,10,23,16,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2411,walk/bicycle
obese,female,pescatarian,daily,coal,public,,never,71,very frequently,1851,large,7,15,0,20,Yes,"['Paper', 'Plastic', 'Glass']",['Stove'],2761,public
underweight,female,vegetarian,twice a day,wood,public,,sometimes,232,rarely,1224,extra large,3,7,26,9,Sometimes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1500,public
overweight,male,pescatarian,more frequently,wood,private,electric,sometimes,247,never,8219,extra large,5,18,2,5,Sometimes,['Glass'],"['Stove', 'Oven']",1708,private - electric
obese,female,omnivore,less frequently,coal,public,,sometimes,222,never,1390,extra large,4,19,2,7,No,['Metal'],"['Microwave', 'Grill', 'Airfryer']",1717,public
overweight,male,vegan,less frequently,wood,public,,sometimes,61,frequently,434,medium,1,23,41,14,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",2135,public
underweight,male,vegan,less frequently,wood,private,hybrid,sometimes,137,never,7460,small,6,5,11,20,Sometimes,"['Paper', 'Plastic']","['Grill', 'Airfryer']",2042,private - hybrid
normal,female,vegan,more frequently,wood,walk/bicycle,,never,157,rarely,15,small,1,20,50,18,Sometimes,"['Paper', 'Metal']","['Grill', 'Airfryer']",1221,walk/bicycle
underweight,male,vegetarian,less frequently,natural gas,private,diesel,never,174,very frequently,4686,extra large,2,0,47,2,No,"['Paper', 'Plastic', 'Glass']",['Microwave'],3473,private - diesel
normal,female,vegetarian,daily,electricity,walk/bicycle,,often,214,never,88,large,5,12,39,21,Sometimes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",1378,walk/bicycle
normal,female,pescatarian,less frequently,electricity,walk/bicycle,,sometimes,214,very frequently,40,extra large,2,21,43,2,Yes,"['Paper', 'Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2135,walk/bicycle
normal,male,pescatarian,more frequently,wood,walk/bicycle,,never,66,never,56,small,6,11,49,20,No,"['Paper', 'Glass']",['Oven'],1464,walk/bicycle
overweight,female,vegan,less frequently,coal,walk/bicycle,,sometimes,123,very frequently,14,extra large,6,22,2,22,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",2816,walk/bicycle
normal,male,vegan,less frequently,wood,public,,sometimes,105,very frequently,108,medium,1,17,19,11,No,"['Paper', 'Plastic']",['Stove'],2210,public
obese,female,omnivore,less frequently,natural gas,private,electric,often,125,never,5168,small,3,1,40,17,No,"['Paper', 'Plastic']","['Stove', 'Oven']",1552,private - electric
normal,male,vegan,more frequently,coal,private,petrol,never,280,frequently,672,small,3,24,34,18,No,"['Paper', 'Plastic', 'Metal']",['Stove'],2406,private - petrol
obese,female,vegan,less frequently,natural gas,walk/bicycle,,sometimes,238,very frequently,94,extra large,3,17,21,22,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3004,walk/bicycle
